expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.067569255828857, real_ur: 5.934759616851807
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.058791160583496, real_ur: 5.9340949058532715
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.022279739379883, real_ur: 5.962227821350098
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 4.987741470336914, real_ur: 5.9911088943481445
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.557538986206055, real_ur: 6.759167194366455
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.562068462371826, real_ur: 6.78109884262085
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.556702136993408, real_ur: 6.772724151611328
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.5741987228393555, real_ur: 6.777703762054443
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.566044807434082, real_ur: 6.793484687805176
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.570772647857666, real_ur: 6.7743730545043945
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.559586048126221, real_ur: 6.775289535522461
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.561975479125977, real_ur: 6.782139778137207
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.5488080978393555, real_ur: 6.766441822052002
expected_ul: 7.005617131542111, expected_ur: 7.458316553338744, pwm_l: 81.46066432025711, pwm_r: 86.72461108533423, real_ul: 6.564459800720215, real_ur: 6.776297569274902
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.079133987426758, real_ur: 7.026795387268066
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.07043981552124, real_ur: 7.028866291046143
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.070739269256592, real_ur: 7.017147541046143
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.060771465301514, real_ur: 7.040458679199219
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.074767589569092, real_ur: 7.0332417488098145
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.08267068862915, real_ur: 7.026236534118652
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.09152889251709, real_ur: 7.036304473876953
